year,month,lag_1,lag_2,lag_3,lag_6,rolling_mean_3
2019,1,344,288,318,321,306
2019,2,287,344,288,332,315
2019,3,315,287,344,332,318
2019,4,353,315,287,318,327
2019,5,314,353,315,288,329
2019,6,320,314,353,344,317
2019,7,319,320,314,287,330
2019,8,353,319,320,315,356
2019,9,397,353,319,353,377
2019,10,382,397,353,314,394
2019,11,403,382,397,320,395
2019,12,401,403,382,319,393
2019,1,258,271,346,350,272
2019,2,288,258,271,387,279
2019,3,292,288,258,298,289
2019,4,289,292,288,346,278
2019,5,254,289,292,271,287
2019,6,318,254,289,258,277
2019,7,259,318,254,288,309
2019,8,352,259,318,292,327
2019,9,372,352,259,289,376
2019,10,404,372,352,254,367
2019,11,326,404,372,318,366
2019,12,369,326,404,259,365
2019,1,2648,2549,2642,2410,2456
2019,2,2172,2648,2549,2716,2393
2019,3,2360,2172,2648,2606,2302
2019,4,2376,2360,2172,2642,2380
2019,5,2404,2376,2360,2549,2464
2019,6,2614,2404,2376,2648,2503
2019,7,2491,2614,2404,2172,2572
2019,8,2612,2491,2614,2360,2680
2019,9,2938,2612,2491,2376,2763
2019,10,2740,2938,2612,2404,2838
2019,11,2838,2740,2938,2614,2681
2019,12,2467,2838,2740,2491,2686
2019,1,1,1,1,1,1
2019,2,1,1,1,2,1
2019,4,1,1,1,1,1
2019,5,1,1,1,1,1
2019,6,1,1,1,1,1
2019,8,1,1,1,1,1
2019,10,2,1,1,1,1
2019,11,1,2,1,1,1
2019,12,1,1,2,1,1
2019,1,297,298,341,381,302
2019,2,312,297,298,339,318
2019,3,347,312,297,369,319
2019,4,298,347,312,341,321
2019,5,319,298,347,298,327
2019,6,364,319,298,297,334
2019,7,321,364,319,312,392
2019,8,493,321,364,347,441
2019,9,510,493,321,298,531
2019,10,592,510,493,319,548
2019,11,543,592,510,364,533
2019,12,466,543,592,321,497
2019,1,112,114,135,125,102
2019,2,82,112,114,87,98
2019,3,102,82,112,117,90
2019,4,87,102,82,135,102
2019,5,118,87,102,114,105
2019,6,112,118,87,112,117
2019,7,121,112,118,82,136
2019,8,176,121,112,102,161
2019,9,186,176,121,87,180
2019,10,180,186,176,118,206
2019,11,253,180,186,112,207
2019,12,189,253,180,121,220
